id,DateTime,DateTimeUTC,driver,device,status,origin,state,malfunction,version,sequence,eventRecordStatus,eventCode,eventType,deferralStatus,deferralMinutes,isIgnored,eventCheckSum,isTransitioning
a0blG20mE_kqya6Vj4I-GxQ,2024-05-21 19:34,2024-05-21 23:34:19.303000+00:00,b1AC,b2C6,OFF,Manual,Active,None,000000000072b3d7,00000000000052d9,1,1,1,None,0,FALSE,0000000000000095,FALSE
aE_bBdtesdkqV26rgf11e6A,2024-05-22 19:32,2024-05-22 23:32:04.083000+00:00,b1AC,b2C6,OFF,Manual,Active,None,000000000073004c,0000000000005308,1,1,1,None,0,FALSE,00000000000000dd,FALSE
aEhDOW4nyP0iX-LQMJ1U7SA,2024-05-22 19:32,2024-05-22 23:32:35.927000+00:00,b1AC,b2C6,OFF,Manual,Active,None,0000000000730053,000000000000530b,1,1,1,None,0,FALSE,00000000000000fd,FALSE
aXWhuQYJu-UOYFUpQ6oWa5g,2024-05-22 5:17,2024-05-22 09:17:55.247000+00:00,b1AD,b466,OFF,Manual,Active,None,000000000072daec,0000000000001e49,1,1,1,None,0,FALSE,00000000000000f5,FALSE
apzXjq89X7EaE7W2T4lhI-g,2024-05-23 11:01,2024-05-23 15:01:03.743000+00:00,b1AD,b466,OFF,Manual,Active,None,00000000007347cc,0000000000001e80,1,1,1,None,0,FALSE,0000000000000076,FALSE
a03zrqI3mvU2fZXHzgdJHmQ,2024-05-22 20:25,2024-05-23 00:25:10.883000+00:00,b1AE,b179,OFF,Manual,Active,None,0000000000730200,00000000000072f9,1,1,1,None,0,FALSE,0000000000000076,FALSE
aB9yDQwS2cU-g2KnhpwyktA,2024-05-21 13:42,2024-05-21 17:42:04.693000+00:00,b1B2,NoDeviceId,OFF,Manual,Active,None,000000000072a81e,000000000001fb71,1,1,1,None,0,FALSE,0000000000000029,FALSE
aMqX6F7Ju4EimCRPXQ7zZ0g,2024-05-22 7:05,2024-05-22 11:05:40+00:00,b1B2,NoDeviceId,OFF,Manual,Active,None,000000000072e20d,000000000001fc3a,1,1,1,None,0,FALSE,0000000000000079,FALSE
apCoXVZ6WX0GTXtoQ_en5nA,2024-05-23 7:48,2024-05-23 11:48:09.207000+00:00,b1B2,NoDeviceId,OFF,Manual,Active,None,00000000007337c2,000000000001fd98,1,1,1,None,0,FALSE,0000000000000091,FALSE
aljetlgm0o0mJY7kfzxK-cw,2024-05-22 8:00,2024-05-22 12:00:48.217000+00:00,b1B8,NoDeviceId,OFF,Manual,Active,None,000000000072e661,000000000001fc4a,1,1,1,None,0,FALSE,00000000000000c8,FALSE
a-juvduCsY0udBmxj6KxACw,2024-05-21 11:21,2024-05-21 15:21:10.687000+00:00,b1BC,NoDeviceId,OFF,Manual,Active,None,000000000072a4cc,000000000001fb44,1,1,1,None,0,FALSE,00000000000000f0,FALSE
a_yFCZexdhEipZ4sVcH_YrQ,2024-05-22 5:46,2024-05-22 09:46:23.170000+00:00,b1BC,NoDeviceId,OFF,Manual,Active,None,000000000072dcd5,000000000001fc21,1,1,1,None,0,FALSE,0000000000000068,FALSE
aVaATr42LDEmDAw8dD9kQBg,2024-05-21 16:54,2024-05-21 20:54:28.707000+00:00,b1C2,NoDeviceId,OFF,Manual,Active,None,000000000072ab2d,000000000001fb92,1,1,1,None,0,FALSE,0000000000000088,FALSE
aAVXWVHz2OkGvdyEj_g8y_g,2024-05-22 15:03,2024-05-22 19:03:02.770000+00:00,b1C2,NoDeviceId,OFF,Manual,Active,None,000000000072f7da,000000000001fcb3,1,1,1,None,0,FALSE,0000000000000029,FALSE
a5mA_DSGcx0y8tAU5HNS9wQ,2024-05-22 10:48,2024-05-22 14:48:24.563000+00:00,b1C3,b339,OFF,Manual,Active,None,000000000072f31e,00000000000031bf,1,1,1,None,0,FALSE,0000000000000056,FALSE
aoIrnOZxEXkKDn8p6VMWFAQ,2024-05-23 5:46,2024-05-23 09:46:07.807000+00:00,b1C3,b339,OFF,Manual,Active,None,0000000000732e7c,00000000000031df,1,1,1,None,0,FALSE,0000000000000076,FALSE
